"Date","Price","Open","High","Low","Vol.","Change %"
"29/06/2025","86.09","87.93","93.48","86.09","","-2.09%"
"22/06/2025","87.93","90.10","95.03","87.93","","-2.41%"
"15/06/2025","90.10","95.31","97.18","90.10","","-5.47%"
"08/06/2025","95.31","89.65","95.31","88.99","","6.31%"
"01/06/2025","89.65","92.11","100.00","89.65","","-2.67%"
"25/05/2025","92.11","100.91","100.91","92.11","","-8.72%"
"18/05/2025","100.91","96.70","103.81","96.70","","4.35%"
"11/05/2025","96.70","100.40","102.90","96.70","","-3.69%"
"04/05/2025","100.40","101.40","106.18","98.66","","-0.99%"
"27/04/2025","101.40","105.79","112.48","101.40","","-4.15%"
"20/04/2025","105.79","114.64","128.56","105.79","","-7.72%"
"13/04/2025","114.64","137.26","137.26","114.64","","-16.48%"
"06/04/2025","137.26","125.71","139.88","125.71","","9.19%"
"30/03/2025","125.71","96.83","125.71","96.83","","29.83%"
"23/03/2025","96.83","94.54","96.83","91.03","","2.42%"
"16/03/2025","94.54","101.01","101.01","91.40","","-6.41%"
"09/03/2025","101.01","104.41","114.60","101.01","","-3.26%"
"02/03/2025","104.41","104.46","108.95","104.32","","-0.05%"
"23/02/2025","104.46","91.83","104.46","88.44","","13.75%"
"16/02/2025","91.83","84.67","91.83","83.86","","8.46%"
"09/02/2025","84.67","93.13","93.13","84.57","","-9.08%"
"02/02/2025","93.13","91.76","94.68","90.28","","1.49%"
"26/01/2025","91.76","86.75","95.05","86.75","","5.78%"
"19/01/2025","86.75","95.60","96.78","86.75","","-9.26%"
"12/01/2025","95.60","96.57","103.51","92.72","","-1.00%"
"05/01/2025","96.57","93.35","102.78","93.35","","3.45%"
"29/12/2024","93.35","98.80","98.80","93.35","","-1.53%"
"22/12/2024","94.80","91.75","96.95","91.75","","3.32%"
"15/12/2024","91.75","85.66","91.75","85.66","","7.11%"
"08/12/2024","85.66","83.20","90.10","82.40","","2.96%"
"01/12/2024","83.20","95.22","97.81","83.20","","-12.62%"
"24/11/2024","95.22","99.14","99.96","95.22","","-3.95%"
"17/11/2024","99.14","102.47","106.69","99.14","","-3.25%"
"10/11/2024","102.47","99.85","108.55","99.43","","2.62%"
"03/11/2024","99.85","132.58","136.25","99.85","","-24.69%"
"27/10/2024","132.58","128.40","135.18","128.40","","3.26%"
"20/10/2024","128.40","123.13","129.26","123.13","","4.28%"
"13/10/2024","123.13","118.47","127.23","118.47","","3.93%"
"06/10/2024","118.47","100.15","124.23","100.15","","18.29%"
"29/09/2024","100.15","92.53","104.14","92.53","","8.24%"
"22/09/2024","92.53","91.00","93.87","90.14","","1.68%"
"15/09/2024","91.00","100.60","101.58","91.00","","-9.54%"
"08/09/2024","100.60","107.24","108.36","98.03","","-6.19%"
"01/09/2024","107.24","107.77","119.15","107.24","","-0.49%"
"25/08/2024","107.77","105.63","109.22","105.63","","2.03%"
"18/08/2024","105.63","102.81","111.57","102.81","","2.74%"
"11/08/2024","102.81","108.26","118.44","102.81","","-5.03%"
"04/08/2024","108.26","112.26","121.22","108.26","","-3.56%"
"28/07/2024","112.26","97.76","112.26","97.76","","14.83%"
"21/07/2024","97.76","94.29","99.08","94.29","","3.68%"
"14/07/2024","94.29","86.79","94.50","86.79","","8.64%"
"07/07/2024","86.79","98.78","98.78","86.79","","-12.14%"
"30/06/2024","98.78","98.59","107.51","98.59","","0.19%"
"23/06/2024","98.59","94.09","98.59","94.09","","4.78%"
"16/06/2024","94.09","100.16","100.16","94.09","","-6.06%"
"09/06/2024","100.16","91.82","100.16","91.73","","9.08%"
"02/06/2024","91.82","91.14","102.43","91.14","","0.75%"
"26/05/2024","91.14","83.57","93.45","83.57","","9.06%"
"19/05/2024","83.57","89.35","89.35","82.49","","-6.47%"
"12/05/2024","89.35","94.23","106.55","89.35","","-5.18%"
"05/05/2024","94.23","95.96","98.04","93.85","","-1.80%"
"28/04/2024","95.96","104.40","107.46","95.96","","-8.08%"
"21/04/2024","104.40","111.26","111.26","104.40","","-6.17%"
"14/04/2024","111.26","112.82","121.15","108.66","","-1.38%"
"07/04/2024","112.82","96.13","112.82","96.13","","19.63%"
"31/03/2024","94.31","86.38","97.88","86.38","","9.18%"
"24/03/2024","86.38","90.82","92.24","86.28","","-5.12%"
"17/03/2024","91.04","97.82","102.87","90.82","","-6.93%"
"10/03/2024","97.82","105.45","106.63","97.03","","-3.03%"
"03/03/2024","100.88","109.10","110.33","100.88","","-5.26%"
"25/02/2024","106.48","115.59","115.59","106.48","","-1.69%"
"18/02/2024","108.31","109.20","115.59","108.31","","-0.82%"
"11/02/2024","109.20","108.60","113.22","108.60","","2.82%"
"04/02/2024","106.21","113.92","113.92","106.21","","-0.48%"
"28/01/2024","106.72","105.89","113.92","104.26","","6.48%"
"21/01/2024","100.23","107.22","107.70","100.23","","-4.52%"
"14/01/2024","104.97","106.51","113.44","104.97","","-1.45%"
"07/01/2024","106.51","121.12","121.12","103.45","","-8.33%"
"31/12/2023","116.19","114.62","127.02","114.62","","1.37%"
"24/12/2023","114.62","111.38","116.00","111.38","","2.91%"
"17/12/2023","111.38","118.04","118.46","111.38","","-3.78%"
"10/12/2023","115.75","129.74","129.74","113.77","","-4.85%"
"03/12/2023","121.65","115.32","129.74","115.32","","9.09%"
"26/11/2023","111.51","111.57","115.32","109.31","","3.80%"
"19/11/2023","107.43","116.08","116.08","107.43","","-5.02%"
"12/11/2023","113.11","117.05","124.47","113.11","","-3.15%"
"05/11/2023","116.79","118.64","121.74","116.79","","-1.64%"
"29/10/2023","118.74","130.94","131.90","118.64","","-8.07%"
"22/10/2023","129.16","134.62","134.62","128.13","","-4.64%"
"15/10/2023","135.45","126.37","135.45","126.37","","5.55%"
"08/10/2023","128.33","126.64","136.17","126.37","","1.33%"
"01/10/2023","126.64","115.24","141.67","115.24","","11.53%"
"24/09/2023","113.55","106.00","122.09","106.00","","12.30%"
"17/09/2023","101.11","97.11","106.00","97.04","","4.66%"
"10/09/2023","96.61","105.20","107.23","96.61","","-7.41%"
"03/09/2023","104.34","102.92","111.31","102.92","","1.38%"
"27/08/2023","102.92","117.56","117.56","102.92","","-6.75%"
"20/08/2023","110.37","121.14","130.69","110.37","","-8.41%"
"13/08/2023","120.51","108.64","121.80","108.64","","7.47%"
"06/08/2023","112.13","124.60","124.60","108.64","","-3.26%"
"30/07/2023","115.91","109.76","124.60","109.76","","5.60%"
"23/07/2023","109.76","106.66","113.02","104.88","","2.91%"
"16/07/2023","106.66","112.48","113.50","106.66","","-5.17%"
"09/07/2023","112.48","130.41","131.73","111.75","","-13.75%"
"02/07/2023","130.41","113.45","134.63","110.53","","17.87%"
"25/06/2023","110.64","105.74","113.45","105.74","","4.63%"
"18/06/2023","105.74","104.43","114.19","104.43","","1.25%"
"11/06/2023","104.43","115.77","119.80","104.43","","-9.80%"
"04/06/2023","115.77","120.95","120.95","114.42","","-4.28%"
"28/05/2023","120.95","145.37","145.37","120.95","","-16.80%"
"21/05/2023","145.37","127.51","145.37","127.51","","14.01%"
"14/05/2023","127.51","120.52","130.30","120.52","","5.80%"
"07/05/2023","120.52","130.21","135.07","120.52","","-7.44%"
"30/04/2023","130.21","122.46","140.71","122.46","","6.33%"
"23/04/2023","122.46","120.84","137.13","120.84","","1.34%"
"16/04/2023","120.84","118.84","124.02","118.84","","1.68%"
"09/04/2023","118.84","139.20","143.00","118.84","","-14.63%"
"02/04/2023","139.20","135.93","153.90","135.93","","2.41%"
"26/03/2023","135.93","173.66","173.66","135.93","","-21.73%"
"19/03/2023","173.66","180.11","182.64","142.84","","-3.58%"
"12/03/2023","180.11","140.06","198.71","140.06","","28.59%"
"05/03/2023","140.06","122.52","140.06","122.52","","14.32%"
"26/02/2023","122.52","122.84","124.12","120.03","","-0.26%"
"19/02/2023","122.84","110.11","122.84","110.11","","11.56%"
"12/02/2023","110.11","109.63","111.01","108.64","","0.44%"
"05/02/2023","109.63","98.99","109.63","98.99","","10.75%"
"29/01/2023","98.99","100.70","103.77","97.33","","-1.70%"
"22/01/2023","100.70","114.76","114.76","100.70","","-12.25%"
"15/01/2023","114.76","113.55","122.27","112.61","","1.07%"
"08/01/2023","113.55","113.87","119.52","112.34","","-0.28%"
"01/01/2023","113.87","121.61","129.97","113.87","","-6.36%"
"25/12/2022","121.61","113.17","124.89","113.17","","7.46%"
"18/12/2022","113.17","113.65","119.92","112.05","","-0.42%"
"11/12/2022","113.65","132.79","141.93","111.26","","-14.41%"
"04/12/2022","132.79","118.62","132.79","118.62","","11.95%"
"27/11/2022","118.62","129.60","131.73","118.62","","-8.47%"
"20/11/2022","129.60","129.33","136.20","129.33","","0.21%"
"13/11/2022","129.33","119.99","132.18","119.99","","15.79%"
"06/11/2022","111.69","136.28","136.28","111.69","","-13.04%"
"30/10/2022","128.44","142.78","148.42","128.44","","-11.18%"
"23/10/2022","144.60","155.61","155.61","140.20","","-7.87%"
"16/10/2022","156.95","155.08","156.95","145.79","","2.66%"
"09/10/2022","152.89","148.46","160.72","148.46","","2.98%"
"02/10/2022","148.46","148.14","153.29","148.14","","4.63%"
"25/09/2022","141.89","131.93","158.99","131.93","","3.36%"
