"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2025","36.920","35.955","37.730","35.900","9.76M","1.23%"
"11/06/2025","36.470","35.720","36.980","35.330","12.91M","2.13%"
"10/06/2025","35.710","35.180","36.300","34.210","21.29M","2.56%"
"09/06/2025","34.820","32.280","36.660","32.250","34.44M","11.64%"
"06/06/2025","31.190","31.010","31.270","29.780","14.30M","1.10%"
"05/06/2025","30.850","28.050","31.240","27.720","29.93M","7.53%"
"04/06/2025","28.690","25.795","29.090","25.400","32.68M","13.94%"
"03/06/2025","25.180","24.330","25.565","23.800","10.49M","4.27%"
"02/06/2025","24.150","22.975","24.170","22.720","7.86M","4.68%"
"30/05/2025","23.070","23.390","23.400","22.470","9.40M","-2.12%"
"29/05/2025","23.570","25.110","25.440","23.520","9.76M","-4.88%"
"28/05/2025","24.780","25.010","25.180","24.340","7.74M","-0.24%"
"27/05/2025","24.840","24.730","25.671","24.500","11.52M","3.09%"
"23/05/2025","24.095","24.150","24.530","23.650","6.94M","-1.29%"
"22/05/2025","24.410","24.070","24.840","23.700","8.34M","2.43%"
"21/05/2025","23.830","24.800","25.236","23.560","10.89M","-4.79%"
"20/05/2025","25.030","24.640","26.050","24.170","13.75M","1.71%"
"19/05/2025","24.610","25.675","25.860","24.070","17.50M","-7.69%"
"16/05/2025","26.660","27.000","27.970","25.740","15.84M","1.60%"
"15/05/2025","26.240","26.140","27.320","25.560","11.66M","-0.04%"
"14/05/2025","26.250","26.990","28.450","26.030","14.03M","-1.13%"
"13/05/2025","26.550","25.895","29.050","25.710","19.63M","-2.25%"
"12/05/2025","27.160","27.170","27.450","26.130","14.76M","5.43%"
"09/05/2025","25.760","25.510","25.910","24.960","7.71M","2.02%"
"08/05/2025","25.250","25.895","25.940","24.900","6.89M","-0.28%"
"07/05/2025","25.320","25.385","25.980","24.960","6.16M","0.96%"
"06/05/2025","25.080","24.205","25.337","23.767","6.89M","1.33%"
"05/05/2025","24.750","25.915","26.360","24.600","10.94M","-6.32%"
"02/05/2025","26.420","24.345","27.570","24.330","19.99M","14.77%"
"01/05/2025","23.020","23.810","23.850","22.830","4.44M","-0.82%"
"30/04/2025","23.210","22.850","23.230","22.065","5.43M","-2.89%"
"29/04/2025","23.900","24.210","24.440","23.790","3.71M","-1.44%"
"28/04/2025","24.250","24.100","25.198","23.170","6.51M","2.06%"
"25/04/2025","23.760","23.840","23.970","22.570","7.88M","-1.29%"
"24/04/2025","24.070","23.000","24.780","22.890","9.91M","7.36%"
"23/04/2025","22.420","22.695","23.932","22.300","7.99M","5.26%"
"22/04/2025","21.300","21.175","21.970","20.680","5.28M","2.58%"
"21/04/2025","20.765","22.710","22.980","20.260","8.35M","-11.22%"
"17/04/2025","23.390","22.730","23.989","22.280","6.15M","4.47%"
"16/04/2025","22.390","22.675","22.980","21.750","4.53M","-2.31%"
"15/04/2025","22.920","22.900","23.410","22.150","7.19M","0.04%"
"14/04/2025","22.910","24.190","24.600","22.510","4.69M","-1.59%"
"11/04/2025","23.280","23.050","23.470","22.040","6.17M","0.61%"
"10/04/2025","23.140","24.010","24.490","22.440","10.02M","-4.14%"
"09/04/2025","24.140","20.240","24.890","19.670","18.02M","18.92%"
"08/04/2025","20.300","22.765","22.800","19.745","10.05M","-4.83%"
"07/04/2025","21.330","18.500","22.860","18.220","13.43M","6.28%"
"04/04/2025","20.070","20.600","21.152","18.500","13.32M","-7.00%"
"03/04/2025","21.580","20.080","22.320","20.010","10.50M","-3.70%"
"02/04/2025","22.410","21.370","23.220","21.310","9.22M","2.56%"
"01/04/2025","21.850","22.770","22.908","21.630","8.86M","-3.91%"
"31/03/2025","22.740","22.830","23.400","22.220","8.76M","-5.49%"
"28/03/2025","24.060","25.670","25.800","23.460","9.87M","-6.74%"
"27/03/2025","25.800","27.000","27.510","25.760","5.66M","-5.46%"
"26/03/2025","27.290","28.580","29.200","27.270","5.78M","-4.41%"
"25/03/2025","28.550","28.920","29.590","28.390","5.20M","-2.56%"
"24/03/2025","29.300","26.620","29.450","26.500","10.85M","13.96%"
"21/03/2025","25.710","24.220","25.990","24.030","6.79M","4.13%"
