"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2025","48.60","48.90","49.05","48.24","6.86M","-0.37%"
"11/06/2025","48.78","47.65","48.78","47.65","10.80M","2.69%"
"10/06/2025","47.50","47.77","47.91","47.26","6.88M","-0.81%"
"09/06/2025","47.89","47.81","47.98","47.54","5.58M","0.21%"
"06/06/2025","47.79","47.55","47.86","47.50","6.27M","0.74%"
"05/06/2025","47.44","46.96","47.76","46.73","13.23M","2.75%"
"04/06/2025","46.17","46.20","46.26","45.76","6.96M","-0.37%"
"03/06/2025","46.34","45.53","46.49","45.48","6.54M","2.09%"
"02/06/2025","45.39","45.21","45.54","45.04","6.85M","0.42%"
"30/05/2025","45.20","44.98","45.20","44.87","6.79M","0.51%"
"29/05/2025","44.97","44.91","44.99","44.58","4.70M","-0.27%"
"28/05/2025","45.09","44.94","45.19","44.85","4.39M","-0.38%"
"27/05/2025","45.26","45.28","45.41","44.90","5.56M","0.09%"
"23/05/2025","45.22","45.00","45.29","44.81","4.32M","1.39%"
"22/05/2025","44.60","44.24","44.71","44.01","5.27M","0.31%"
"21/05/2025","44.46","44.51","44.79","44.46","6.50M","0.05%"
"20/05/2025","44.44","43.88","44.46","43.85","7.04M","1.97%"
"19/05/2025","43.58","43.15","43.58","43.14","6.64M","2.20%"
"16/05/2025","42.64","41.75","42.71","41.75","8.72M","3.07%"
"15/05/2025","41.37","40.74","41.51","40.60","15.97M","2.02%"
"14/05/2025","40.55","40.62","40.71","40.40","7.44M","-0.34%"
"13/05/2025","40.69","40.42","40.81","40.12","10.42M","-0.71%"
"12/05/2025","40.98","40.91","41.08","40.48","7.93M","-1.59%"
"09/05/2025","41.64","42.31","42.37","41.60","8.28M","-3.83%"
"08/05/2025","43.30","43.99","44.05","43.24","6.75M","-2.59%"
"07/05/2025","44.45","44.47","44.66","44.10","7.94M","-0.25%"
"06/05/2025","44.56","44.21","44.78","44.04","9.76M","1.85%"
"05/05/2025","43.75","43.44","43.83","43.24","2.91M","1.34%"
"02/05/2025","43.17","43.15","43.24","42.86","6.53M","-0.30%"
"01/05/2025","43.30","43.27","43.41","43.06","3.67M","-0.57%"
"30/04/2025","43.55","43.55","43.86","43.30","8.35M","1.61%"
"29/04/2025","42.86","42.31","42.88","42.24","5.81M","1.11%"
"28/04/2025","42.39","42.28","42.40","42.08","3.84M","0.81%"
"25/04/2025","42.05","42.25","42.25","41.80","3.38M","-0.94%"
"24/04/2025","42.45","42.50","42.60","42.34","4.37M","-0.14%"
"23/04/2025","42.51","42.04","42.52","41.81","6.14M","-0.68%"
"22/04/2025","42.80","42.70","43.12","42.59","5.89M","0.59%"
"21/04/2025","42.55","42.50","42.72","42.06","9.49M","0.42%"
"17/04/2025","42.37","41.84","42.55","41.84","4.75M","1.29%"
"16/04/2025","41.83","42.53","42.55","41.69","4.66M","-1.16%"
"15/04/2025","42.32","42.30","42.54","42.26","4.73M","0.74%"
"14/04/2025","42.01","41.39","42.12","41.37","6.63M","1.06%"
"11/04/2025","41.57","41.28","41.65","41.02","8.54M","2.52%"
"10/04/2025","40.55","39.94","40.92","39.55","14.09M","0.85%"
"09/04/2025","40.21","39.35","40.55","39.07","8.57M","1.67%"
"08/04/2025","39.55","40.10","40.52","39.33","5.72M","0.30%"
"07/04/2025","39.43","38.04","39.78","37.96","8.97M","-1.08%"
"04/04/2025","39.86","41.31","41.44","39.77","10.17M","-4.91%"
"03/04/2025","41.92","41.50","42.14","41.21","8.82M","4.15%"
"02/04/2025","40.25","41.17","41.22","39.83","3.11M","-2.07%"
"01/04/2025","41.10","41.23","41.38","40.88","3.91M","-0.65%"
