"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2025","149.33","147.15","149.37","145.89","1.70M","0.28%"
"11/06/2025","148.92","145.80","149.36","144.30","3.22M","2.30%"
"10/06/2025","145.57","143.00","147.56","142.75","2.28M","2.42%"
"09/06/2025","142.13","141.42","143.32","140.35","1.74M","1.12%"
"06/06/2025","140.56","139.27","141.21","139.00","1.78M","2.26%"
"05/06/2025","137.45","140.26","140.40","136.83","2.06M","-1.36%"
"04/06/2025","139.35","142.14","144.00","138.38","2.44M","-2.06%"
"03/06/2025","142.28","138.00","143.30","135.88","2.77M","3.41%"
"02/06/2025","137.59","138.45","139.03","135.86","2.12M","2.26%"
"30/05/2025","134.55","136.64","136.71","133.75","4.36M","-2.37%"
"29/05/2025","137.81","137.47","138.19","136.13","2.10M","1.12%"
"28/05/2025","136.28","139.22","139.22","135.94","1.90M","-0.88%"
"27/05/2025","137.49","137.79","138.11","135.54","1.79M","1.20%"
"23/05/2025","135.86","134.31","136.62","133.75","1.77M","-0.32%"
"22/05/2025","136.29","134.76","136.86","132.20","1.93M","-0.01%"
"21/05/2025","136.31","138.35","138.67","136.12","1.65M","-1.47%"
"20/05/2025","138.35","139.18","139.82","137.44","1.10M","-0.72%"
"19/05/2025","139.35","139.93","140.24","137.62","1.48M","-1.26%"
"16/05/2025","141.13","142.77","142.77","139.22","2.29M","-0.58%"
"15/05/2025","141.95","140.19","142.02","138.52","2.60M","-1.98%"
"14/05/2025","144.82","144.53","145.95","143.98","1.62M","-0.92%"
"13/05/2025","146.17","143.61","147.69","142.90","2.01M","2.27%"
"12/05/2025","142.92","144.84","147.75","142.07","2.26M","3.65%"
"09/05/2025","137.89","138.00","139.35","136.65","1.94M","1.26%"
"08/05/2025","136.18","130.48","137.33","130.48","2.55M","5.10%"
"07/05/2025","129.57","132.77","132.89","127.75","2.55M","-1.83%"
"06/05/2025","131.98","133.90","137.00","131.32","3.78M","-0.83%"
"05/05/2025","133.08","134.00","135.06","132.05","2.87M","-2.73%"
"02/05/2025","136.81","136.56","137.85","133.82","2.37M","1.47%"
"01/05/2025","134.83","131.31","136.40","130.90","2.16M","2.14%"
"30/04/2025","132.01","134.44","134.60","130.51","1.98M","-3.40%"
"29/04/2025","136.65","137.81","138.01","135.34","1.67M","-0.85%"
"28/04/2025","137.82","136.41","138.60","136.24","1.66M","0.78%"
"25/04/2025","136.76","135.11","137.25","134.85","1.61M","0.44%"
"24/04/2025","136.16","136.94","137.81","135.11","2.05M","0.46%"
"23/04/2025","135.54","137.79","140.00","134.39","2.13M","-0.73%"
"22/04/2025","136.54","135.12","137.97","134.38","1.73M","3.17%"
"21/04/2025","132.35","134.18","134.35","130.32","2.18M","-3.84%"
"17/04/2025","137.64","132.58","139.22","132.58","3.67M","5.70%"
"16/04/2025","130.22","127.73","132.58","127.71","2.05M","2.42%"
"15/04/2025","127.14","126.69","130.02","126.69","1.69M","-0.39%"
"14/04/2025","127.64","131.80","132.96","125.87","2.52M","-1.06%"
"11/04/2025","129.01","123.09","129.03","121.03","3.93M","4.75%"
"10/04/2025","123.16","129.25","130.02","119.65","4.37M","-8.72%"
"09/04/2025","134.93","115.82","137.35","114.00","5.37M","13.15%"
"08/04/2025","119.25","129.25","129.65","117.41","3.37M","-4.24%"
"07/04/2025","124.53","120.86","129.25","117.03","5.48M","0.94%"
"04/04/2025","123.37","134.05","135.82","123.15","5.43M","-12.68%"
"03/04/2025","141.28","151.05","153.02","141.10","5.41M","-12.51%"
"02/04/2025","161.49","159.04","161.77","158.26","1.39M","0.39%"
"01/04/2025","160.87","160.24","161.14","157.85","1.46M","0.62%"
"31/03/2025","159.88","157.63","161.60","156.80","2.07M","1.49%"
"28/03/2025","157.54","159.93","160.96","155.85","1.64M","-1.68%"
"27/03/2025","160.23","162.64","163.21","159.64","1.47M","-1.75%"
"26/03/2025","163.09","162.84","165.13","162.34","2.37M","0.92%"
"25/03/2025","161.60","162.00","163.26","160.57","2.32M","0.37%"
"24/03/2025","161.01","158.85","161.44","158.55","2.04M","1.58%"
"21/03/2025","158.50","156.80","158.73","156.16","7.80M","0.01%"
"20/03/2025","158.48","156.83","159.25","155.96","2.05M","0.56%"
"19/03/2025","157.60","155.33","158.57","155.20","2.97M","1.68%"
"18/03/2025","155.00","153.99","155.02","152.12","2.35M","1.29%"
"17/03/2025","153.03","150.80","153.98","150.25","1.98M","1.88%"
"14/03/2025","150.20","146.52","151.02","145.22","2.74M","3.02%"
"13/03/2025","145.80","145.31","146.91","142.60","2.64M","-0.51%"
"12/03/2025","146.55","144.47","148.36","143.25","2.41M","1.31%"
"11/03/2025","144.65","141.87","146.00","141.25","2.32M","2.90%"
"10/03/2025","140.58","139.75","141.94","137.09","3.44M","0.34%"
"07/03/2025","140.11","140.80","144.15","139.51","2.81M","0.15%"
"06/03/2025","139.90","141.13","142.44","138.94","3.35M","-1.96%"
"05/03/2025","142.70","143.42","143.76","139.57","3.76M","-1.61%"
"04/03/2025","145.04","145.99","147.53","140.81","5.03M","-2.00%"
"03/03/2025","148.00","159.96","160.44","147.70","3.50M","-6.89%"
"28/02/2025","158.96","155.01","159.41","152.61","3.36M","2.17%"
"27/02/2025","155.59","155.62","156.98","151.74","3.14M","2.07%"
"26/02/2025","152.43","151.83","154.00","151.00","3.30M","0.34%"
"25/02/2025","151.92","157.21","161.47","151.69","4.70M","-2.13%"
"24/02/2025","155.23","156.12","156.80","155.03","3.88M","-0.57%"
"21/02/2025","156.12","160.89","161.48","155.59","3.94M","-3.68%"
