"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2025","4.220","4.210","4.230","4.200","12.62M","1.69%"
"11/06/2025","4.150","4.150","4.180","4.130","15.48M","0.73%"
"10/06/2025","4.120","4.150","4.170","4.110","14.73M","-1.90%"
"09/06/2025","4.200","4.190","4.225","4.180","10.15M","0.00%"
"06/06/2025","4.200","4.210","4.220","4.180","15.37M","0.24%"
"05/06/2025","4.190","4.180","4.210","4.160","20.30M","0.24%"
"04/06/2025","4.180","4.210","4.240","4.170","18.10M","-0.48%"
"03/06/2025","4.200","4.190","4.240","4.170","14.27M","-1.64%"
"02/06/2025","4.270","4.220","4.280","4.191","22.35M","1.43%"
"30/05/2025","4.210","4.220","4.230","4.180","17.04M","0.00%"
"29/05/2025","4.210","4.220","4.220","4.180","17.74M","0.72%"
"28/05/2025","4.180","4.210","4.220","4.150","17.45M","-2.56%"
"27/05/2025","4.290","4.280","4.300","4.270","16.89M","0.47%"
"23/05/2025","4.270","4.190","4.270","4.170","25.73M","0.47%"
"22/05/2025","4.250","4.190","4.280","4.180","31.44M","1.19%"
"21/05/2025","4.200","4.240","4.260","4.180","35.45M","-0.24%"
"20/05/2025","4.210","4.160","4.220","4.160","18.18M","2.68%"
"19/05/2025","4.100","4.020","4.110","4.020","41.20M","2.76%"
"16/05/2025","3.990","3.980","4.010","3.980","23.29M","0.50%"
"15/05/2025","3.970","3.970","4.000","3.950","27.58M","-0.50%"
"14/05/2025","3.990","3.950","4.000","3.950","29.26M","2.05%"
"13/05/2025","3.910","3.870","3.920","3.870","31.61M","2.36%"
"12/05/2025","3.820","3.890","3.910","3.805","48.58M","-1.80%"
"09/05/2025","3.890","3.900","3.910","3.860","43.36M","0.52%"
"08/05/2025","3.870","3.910","3.920","3.860","20.78M","-0.26%"
"07/05/2025","3.880","3.860","3.920","3.860","30.56M","1.04%"
"06/05/2025","3.840","3.830","3.870","3.830","26.51M","1.32%"
"05/05/2025","3.790","3.760","3.830","3.745","21.16M","1.07%"
"02/05/2025","3.750","3.810","3.820","3.745","34.52M","-0.27%"
"01/05/2025","3.760","3.840","3.880","3.760","34.21M","-4.81%"
"30/04/2025","3.950","3.870","3.960","3.870","42.05M","-0.75%"
"29/04/2025","3.980","3.990","4.000","3.950","21.25M","0.51%"
"28/04/2025","3.960","3.950","4.000","3.940","23.72M","0.51%"
"25/04/2025","3.940","3.910","3.950","3.910","14.61M","0.77%"
"24/04/2025","3.910","3.890","3.930","3.890","19.56M","0.00%"
"23/04/2025","3.910","3.920","3.960","3.900","37.58M","1.03%"
"22/04/2025","3.870","3.820","3.880","3.820","27.67M","4.03%"
"21/04/2025","3.720","3.760","3.820","3.690","17.18M","-1.06%"
"17/04/2025","3.760","3.740","3.800","3.740","24.84M","0.00%"
"16/04/2025","3.760","3.760","3.790","3.714","31.90M","-0.27%"
"15/04/2025","3.770","3.740","3.795","3.730","30.99M","2.72%"
"14/04/2025","3.670","3.620","3.700","3.610","37.53M","2.23%"
"11/04/2025","3.590","3.530","3.620","3.500","44.92M","0.28%"
"10/04/2025","3.580","3.600","3.620","3.495","51.99M","-0.83%"
"09/04/2025","3.610","3.340","3.640","3.290","49.33M","8.73%"
"08/04/2025","3.320","3.470","3.490","3.270","40.86M","-0.60%"
"07/04/2025","3.340","3.350","3.530","3.280","63.40M","-1.47%"
"04/04/2025","3.390","3.460","3.470","3.360","36.52M","-7.63%"
"03/04/2025","3.670","3.740","3.770","3.650","40.23M","-4.43%"
"02/04/2025","3.840","3.785","3.840","3.780","21.76M","0.79%"
"01/04/2025","3.810","3.810","3.840","3.760","35.29M","-0.26%"
"31/03/2025","3.820","3.790","3.830","3.770","23.95M","-0.52%"
"28/03/2025","3.840","3.880","3.900","3.820","23.65M","-1.03%"
"27/03/2025","3.880","3.840","3.900","3.830","32.66M","1.04%"
"26/03/2025","3.840","3.860","3.890","3.810","25.90M","-0.26%"
"25/03/2025","3.850","3.840","3.870","3.820","19.37M","1.05%"
"24/03/2025","3.810","3.780","3.820","3.780","16.02M","1.87%"
"21/03/2025","3.740","3.690","3.760","3.690","24.33M","-0.80%"
"20/03/2025","3.770","3.730","3.810","3.720","51.74M","0.53%"
"19/03/2025","3.750","3.700","3.770","3.700","26.60M","1.63%"
"18/03/2025","3.690","3.700","3.720","3.685","22.16M","-0.54%"
"17/03/2025","3.710","3.690","3.720","3.670","16.08M","1.09%"
"14/03/2025","3.670","3.650","3.690","3.640","14.82M","2.51%"
"13/03/2025","3.580","3.630","3.645","3.570","21.49M","-1.38%"
"12/03/2025","3.630","3.600","3.645","3.545","33.91M","2.54%"
"11/03/2025","3.540","3.580","3.580","3.500","54.45M","-3.01%"
"10/03/2025","3.650","3.670","3.680","3.560","39.12M","-3.95%"
"07/03/2025","3.800","3.800","3.820","3.720","34.05M","0.26%"
"06/03/2025","3.790","3.840","3.878","3.770","35.22M","-2.82%"
"05/03/2025","3.900","3.850","3.910","3.830","44.22M","2.09%"
"04/03/2025","3.820","3.710","3.900","3.670","75.67M","3.80%"
"03/03/2025","3.680","3.750","3.810","3.630","45.97M","-1.87%"
"28/02/2025","3.750","3.690","3.780","3.660","223.94M","1.63%"
"27/02/2025","3.690","3.660","3.700","3.630","72.91M","0.82%"
"26/02/2025","3.660","3.590","3.700","3.580","90.94M","3.10%"
"25/02/2025","3.550","3.490","3.560","3.450","71.17M","4.41%"
"24/02/2025","3.400","3.400","3.420","3.350","21.60M","0.89%"
"21/02/2025","3.370","3.370","3.400","3.350","16.67M","1.20%"
"20/02/2025","3.330","3.350","3.380","3.310","23.47M","6.05%"
"19/02/2025","3.140","3.145","3.160","3.130","10.61M","-1.57%"
