"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2025","135.19","136.40","137.04","134.66","50.83M","-0.88%"
"11/06/2025","136.39","133.92","140.00","132.99","97.37M","2.70%"
"10/06/2025","132.81","131.02","134.07","129.41","69.31M","0.57%"
"09/06/2025","132.06","127.07","132.23","124.80","74.79M","3.40%"
"06/06/2025","127.72","123.73","128.13","121.92","87.18M","6.51%"
"05/06/2025","119.91","129.27","132.85","118.93","132.24M","-7.77%"
"04/06/2025","130.01","132.80","132.95","125.58","97.31M","-2.37%"
"03/06/2025","133.17","133.07","135.28","130.10","91.30M","0.86%"
"02/06/2025","132.04","131.43","134.48","128.86","93.22M","0.20%"
"30/05/2025","131.78","123.53","131.94","122.75","185.90M","7.73%"
"29/05/2025","122.32","125.35","126.47","121.53","63.14M","-1.16%"
"28/05/2025","123.76","124.23","125.65","122.91","64.87M","0.30%"
"27/05/2025","123.39","126.82","127.88","120.88","86.46M","0.06%"
"23/05/2025","123.31","120.88","125.54","120.68","65.91M","0.83%"
"22/05/2025","122.29","121.95","126.33","121.38","75.50M","1.42%"
"21/05/2025","120.58","125.16","127.11","119.41","80.66M","-3.99%"
"20/05/2025","125.59","127.22","128.20","124.65","61.27M","-0.59%"
"19/05/2025","126.33","124.71","127.77","124.32","72.50M","-2.46%"
"16/05/2025","129.52","129.23","130.33","126.76","57.00M","1.09%"
"15/05/2025","128.12","128.37","130.20","125.74","69.50M","-1.58%"
"14/05/2025","130.18","129.01","133.49","127.56","96.61M","1.62%"
"13/05/2025","128.10","119.92","130.60","119.31","147.16M","8.14%"
"12/05/2025","118.46","120.78","120.93","115.01","94.26M","0.99%"
"09/05/2025","117.30","118.97","119.16","114.90","81.01M","-1.55%"
"08/05/2025","119.15","112.28","120.38","112.07","126.97M","7.85%"
"07/05/2025","110.48","107.97","111.85","107.00","95.71M","1.49%"
"06/05/2025","108.86","112.71","113.91","105.32","201.19M","-12.05%"
"05/05/2025","123.77","123.70","125.25","121.36","135.96M","-0.41%"
"02/05/2025","124.28","118.66","124.42","118.63","103.09M","6.95%"
"01/05/2025","116.20","120.04","120.19","116.00","90.68M","-1.89%"
"30/04/2025","118.44","111.61","118.78","110.54","109.46M","2.03%"
"29/04/2025","116.08","113.98","117.23","113.24","79.71M","1.25%"
"28/04/2025","114.65","113.78","114.86","108.87","111.08M","1.66%"
"25/04/2025","112.78","108.05","112.88","106.55","103.93M","4.64%"
"24/04/2025","107.78","101.53","108.00","100.91","103.19M","6.90%"
"23/04/2025","100.82","98.86","103.76","97.83","112.91M","7.27%"
"22/04/2025","93.99","93.01","96.34","91.35","91.19M","3.51%"
"21/04/2025","90.80","92.84","96.47","89.31","83.83M","-3.18%"
"17/04/2025","93.78","94.71","95.11","92.27","83.99M","1.15%"
"16/04/2025","92.71","96.28","97.30","89.62","122.00M","-5.78%"
"15/04/2025","98.40","93.53","98.99","93.05","118.46M","6.24%"
"14/04/2025","92.62","95.80","97.33","91.46","122.84M","4.60%"
"11/04/2025","88.55","87.98","89.55","85.47","95.13M","-0.05%"
"10/04/2025","88.59","88.40","90.78","84.14","124.45M","-3.72%"
"09/04/2025","92.01","78.19","93.33","77.27","187.24M","19.00%"
"08/04/2025","77.32","83.29","86.11","75.22","135.35M","-0.67%"
"07/04/2025","77.84","66.65","81.80","66.12","169.08M","5.17%"
"04/04/2025","74.01","80.07","80.98","71.93","147.32M","-11.47%"
"03/04/2025","83.60","81.25","85.68","81.01","93.88M","-4.40%"
"02/04/2025","87.45","82.40","88.40","82.30","96.56M","3.27%"
"01/04/2025","84.68","83.89","85.28","81.82","78.98M","0.33%"
"31/03/2025","84.40","80.00","84.65","78.75","108.09M","-1.69%"
"28/03/2025","85.85","89.34","89.38","84.10","91.09M","-4.71%"
"27/03/2025","90.09","91.01","93.65","89.67","82.82M","-2.37%"
"26/03/2025","92.28","96.29","97.30","90.82","82.14M","-4.37%"
"25/03/2025","96.50","97.22","98.17","95.08","78.02M","-0.26%"
"24/03/2025","96.75","93.40","97.39","92.28","112.16M","6.37%"
"21/03/2025","90.96","85.85","91.07","84.46","116.75M","4.09%"
"20/03/2025","87.39","85.54","89.80","85.12","105.55M","1.50%"
"19/03/2025","86.10","84.55","87.99","82.86","89.80M","2.63%"
"18/03/2025","83.89","85.78","86.17","81.80","93.24M","-3.96%"
"17/03/2025","87.35","88.44","88.82","84.50","99.35M","1.29%"
"14/03/2025","86.24","82.97","87.27","82.16","113.99M","8.31%"
"13/03/2025","79.62","82.85","83.74","78.32","100.93M","-4.82%"
"12/03/2025","83.65","83.48","84.55","79.86","116.53M","7.17%"
"11/03/2025","78.05","75.79","80.75","75.53","109.35M","2.19%"
"10/03/2025","76.38","82.00","82.69","74.57","136.84M","-10.05%"
"07/03/2025","84.91","80.03","85.16","79.15","105.38M","5.53%"
"06/03/2025","80.46","87.50","88.34","80.01","117.34M","-10.73%"
"05/03/2025","90.13","86.35","90.30","82.50","116.05M","6.79%"
"04/03/2025","84.40","80.16","88.50","79.30","116.80M","1.17%"
"03/03/2025","83.42","88.55","90.48","82.53","114.57M","-1.77%"
"28/02/2025","84.92","79.98","85.18","78.58","125.98M","0.18%"
"27/02/2025","84.77","91.91","93.62","84.17","99.68M","-5.08%"
"26/02/2025","89.31","89.16","91.69","87.59","94.85M","1.67%"
"25/02/2025","87.84","90.65","91.70","85.25","132.63M","-3.13%"
"24/02/2025","90.68","95.88","99.01","89.30","184.48M","-10.53%"
"21/02/2025","101.35","107.68","109.07","100.00","129.06M","-4.63%"
"20/02/2025","106.27","102.91","107.40","95.80","243.09M","-5.17%"
"19/02/2025","112.06","123.86","125.41","108.56","147.49M","-10.08%"
"18/02/2025","124.62","120.94","125.00","118.43","84.23M","4.58%"
"14/02/2025","119.16","117.90","120.67","116.80","65.53M","1.06%"
"13/02/2025","117.91","117.31","118.39","115.15","60.03M","0.44%"
"12/02/2025","117.39","110.29","117.59","110.00","75.32M","4.24%"
"11/02/2025","112.62","116.50","118.66","112.10","94.31M","-3.45%"
"10/02/2025","116.65","112.03","116.76","108.72","99.94M","5.23%"
"07/02/2025","110.85","111.66","116.30","110.45","143.80M","-0.39%"
"06/02/2025","111.28","101.09","111.54","100.26","128.22M","9.79%"
"05/02/2025","101.36","101.78","103.57","99.32","90.79M","-2.38%"
"04/02/2025","103.83","102.80","106.91","100.51","230.81M","23.99%"
"03/02/2025","83.74","80.13","84.25","78.47","126.59M","1.52%"
"31/01/2025","82.49","81.00","85.22","80.87","79.00M","1.56%"
"30/01/2025","81.22","80.02","81.83","79.38","46.07M","1.83%"
"29/01/2025","79.76","79.95","80.82","77.81","49.26M","-0.59%"
"28/01/2025","80.23","75.54","80.74","74.04","65.92M","6.35%"
"27/01/2025","75.44","74.07","76.72","72.67","76.09M","-4.48%"
"24/01/2025","78.98","79.05","82.24","78.44","77.93M","0.00%"
"23/01/2025","78.98","76.04","79.00","75.84","55.94M","2.74%"
"22/01/2025","76.87","74.50","77.16","73.80","66.88M","5.20%"
"21/01/2025","73.07","73.24","73.64","70.60","56.23M","1.81%"
"17/01/2025","71.77","70.90","72.34","69.95","54.75M","3.65%"
"16/01/2025","69.24","69.08","71.43","68.36","62.91M","1.61%"
"15/01/2025","68.14","68.55","68.85","67.08","56.03M","3.38%"
"14/01/2025","65.91","67.18","68.23","65.19","56.81M","1.43%"
"13/01/2025","64.98","64.29","65.68","63.40","69.05M","-3.39%"
"10/01/2025","67.26","66.01","68.20","65.04","78.15M","-1.42%"
